feature,importance
categorical__district_name_Pilibhit,0.0
categorical__district_name_Cachar,0.0
categorical__district_name_Patna,0.0
categorical__district_name_Patiala,0.0
categorical__district_name_Parbhani,0.0
categorical__district_name_Panna,0.0
categorical__district_name_Vidisha,0.0
categorical__district_name_Dangs,0.0
categorical__district_name_Cuttack,0.0
categorical__district_name_Churu,0.0
categorical__district_name_Chandrapur,0.0
categorical__district_name_North Cachar Hil / Dima Hasao,0.0
categorical__district_name_Etah,0.0
categorical__district_name_Nizamabad,0.0
categorical__district_name_Rewa,0.0
categorical__district_name_Durg,0.0
categorical__district_name_Dibrugarh,0.0
categorical__district_name_Dhule,0.0
categorical__district_name_Rampur,0.0
categorical__district_name_Dhenkanal,0.0
categorical__district_name_Dhar,0.0
categorical__district_name_Raisen,0.0
categorical__district_name_Dewas,0.0
categorical__district_name_Raigarh,0.0
categorical__district_name_Raigad,0.0
categorical__district_name_Deoria,0.0
categorical__district_name_Rae-Bareily,0.0
categorical__district_name_Datia,0.0
categorical__district_name_Puri,0.0
categorical__district_name_Pune,0.0
categorical__district_name_Betul,0.0
categorical__district_name_Darrang,0.0
categorical__district_name_Guna,0.0
categorical__district_name_Gorakhpur,0.0
categorical__district_name_Basti,0.0
categorical__district_name_Bastar,0.0
categorical__district_name_Barmer,0.0
categorical__district_name_Bareilly,0.0
categorical__district_name_Gonda,0.0
categorical__district_name_Banswara,0.0
categorical__district_name_Goalpara,0.0
categorical__district_name_Ghazipur,0.0
categorical__district_name_Banda,0.0
categorical__district_name_Sabarkantha,0.0
categorical__district_name_Garhwal,0.0
categorical__district_name_Roopnagar / Ropar,0.0
categorical__district_name_Ganjam,0.0
categorical__district_name_Shimla,0.0
categorical__district_name_Shajapur,0.0
categorical__district_name_Shahdol,0.0
categorical__district_name_Shahabad (Now Part Of Bhojpur District),0.0
categorical__district_name_Fatehpur,0.0
categorical__district_name_Sehore,0.0
categorical__district_name_Satna,0.0
categorical__district_name_Farrukhabad,0.0
categorical__district_name_Saran,0.0
categorical__district_name_Faizabad,0.0
categorical__district_name_Sangrur,0.0
categorical__district_name_Sangli,0.0
categorical__district_name_Sambalpur,0.0
categorical__district_name_Etawah,0.0
categorical__district_name_Jalaun,0.0
categorical__district_name_Surguja,0.0
categorical__district_name_Jalandhar,0.0
categorical__district_name_Surat,0.0
categorical__district_name_Sundargarh,0.0
categorical__district_name_Sultanpur,0.0
categorical__district_name_Jaisalmer,0.0
categorical__district_name_Jaipur,0.0
categorical__district_name_Jabalpur,0.0
categorical__district_name_Sitapur,0.0
categorical__district_name_Hoshiarpur,0.0
categorical__district_name_Sirmaur,0.0
categorical__district_name_Singhbhum,0.0
categorical__district_name_Hardoi,0.0
categorical__district_name_Hamirpur,0.0
categorical__district_name_Gwalior,0.0
categorical__district_name_Shivpuri,0.0
categorical__district_name_Varanasi,0.0
categorical__district_name_Gurgaon,0.0
categorical__district_name_Kannur,0.0
categorical__district_name_Unnao,0.0
categorical__district_name_Ujjain,0.0
categorical__district_name_Udaipur,0.0
categorical__district_name_Kangra,0.0
categorical__district_name_Kamrup,0.0
categorical__district_name_Kalahandi,0.0
categorical__district_name_Jodhpur,0.0
categorical__district_name_Seoni / Shivani,0.0
categorical__district_name_Jind,0.0
categorical__district_name_Jhansi,0.0
categorical__district_name_Thane,0.0
categorical__district_name_Tehri Garhwal,0.0
categorical__district_name_Swami Madhopur,0.0
categorical__district_name_Akola,0.0
categorical__district_name_Azamgarh,0.0
categorical__district_name_Jhalawar,0.0
categorical__district_name_Jhabua,0.0
categorical__district_name_Amritsar,0.0
categorical__district_name_Jaunpur,0.0
categorical__district_name_Jalore,0.0
categorical__district_name_Almorah,0.0
categorical__district_name_Allahabad,0.0
categorical__district_name_Aligarh,0.0
categorical__district_name_Koraput,0.0
categorical__district_name_Kollam,0.0
categorical__district_name_Kolhapur,0.0
categorical__district_name_Kheri,0.0
categorical__district_name_Visakhapatnam,0.0
categorical__district_name_Balaghat,0.0
categorical__district_name_Keonjhar,0.0
categorical__crop_name_Safflower,0.0
categorical__district_name_Kapurthala,0.0
categorical__district_name_Kanyakumari,0.0
categorical__district_name_Kanpur,0.0
categorical__district_name_Bolangir,0.0
categorical__district_name_Bikaner,0.0
categorical__crop_name_Linseed,0.0
categorical__district_name_Bijnor,0.0
categorical__district_name_Bijapur / Vijayapura,0.0
categorical__district_name_Bhind,0.0
categorical__district_name_Bhatinda,0.0
categorical__district_name_Banaskantha,0.0
categorical__district_name_Ballia,0.0
categorical__district_name_Balasore,0.0
categorical__district_name_Thrissur,0.0
